layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
negative,2,2,3,1,1,1.0,1.0,-1.0,0.9645412326286136,0.0,0.9028124816553927,0.0,1.036762313700942,1.1076497282873234,2004-08-01
negative,4,10,19,3,14,0.5,0.3111111111111111,-0.5000000000000001,0.2837455146568066,0.3333333333333333,0.3421418237480158,0.22777777777777777,3.9510739565198563,3.071156374042566,2004-09-01
negative,4,6,11,3,6,0.5,0.4,-0.5000000000000001,0.4233326330299197,0.3333333333333333,0.47227076109266247,0.26666666666666666,2.451706513463222,2.20734558850611,2004-10-01
negative,4,11,20,3,18,0.5,0.32727272727272727,-0.1999999999999996,0.396873552719143,0.25,0.404426113242959,0.16161616161616163,2.673607987476954,2.6401578083774964,2004-11-01
negative,5,12,34,5,24,0.5,0.36363636363636365,-0.24999999999999983,0.32017386109736934,0.2,0.46156735953324485,0.11969696969696969,3.3718279584474744,2.239214971789424,2004-12-01
negative,5,11,27,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.39158950287521205,0.2333333333333333,0.46586872620860564,0.13131313131313133,2.6340094833498577,2.270420383419892,2005-01-01
negative,5,11,27,5,20,0.5,0.36363636363636365,-0.24999999999999983,0.23875129616820923,0.2333333333333333,0.4715313370181352,0.12323232323232323,4.4774874968278535,2.2176631240100564,2005-02-01
negative,5,10,27,4,16,0.4,0.35555555555555557,-0.3333333333333333,0.121806091481323,0.3333333333333333,0.4836494105471189,0.13333333333333336,10.248386643274705,2.188873751244562,2005-03-01
negative,5,11,26,5,19,0.5,0.34545454545454546,-0.4285714285714284,0.4899339588702037,0.2,0.4241495083696526,0.1575757575757576,2.127311916493443,2.5129225389002277,2005-04-01
negative,5,12,27,5,23,0.5,0.3484848484848485,-0.11111111111111124,0.484927029028137,0.2333333333333333,0.3904602880666197,0.1515151515151515,2.145982451892608,2.724112914357056,2005-05-01
negative,4,12,31,3,24,0.5,0.36363636363636365,-0.5000000000000001,0.3782017365428059,0.3333333333333333,0.4796036166393076,0.11515151515151516,2.8162496896317006,2.2265657707845325,2005-06-01
