party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,date
Cumhuriyet Halk Partisi,521.6,0.5275781856223438,0.0,0.5034743804555263,opposition,total,2007-02-01
Anavatan Partisi,253.85,0.5239494875263766,0.0,0.5006778273817666,opposition,total,2007-02-01
Bağımsız,152.54999999999998,0.3984030051442774,0.0,0.1410050270446458,opposition,total,2007-02-01
Doğru Yol Partisi,63.3,0.6145447111686348,0.5,0.3406693825455194,opposition,total,2007-02-01
Cumhuriyet Halk Partisi,745.5,0.6374263172164586,0.5,0.5320549097465153,opposition,total,2007-03-01
Adalet ve Kalkınma Partisi,567.15,0.6381041328416195,0.5,0.5982152165990047,government,total,2007-03-01
Anavatan Partisi,315.35,0.5545899673413425,0.0,0.5210828265592252,opposition,total,2007-03-01
Bağımsız,85.9,0.42508163920078196,0.0,0.2697535587908027,opposition,total,2007-03-01
Doğru Yol Partisi,79.45,0.3205506217582456,0.0,0.12149828405693146,opposition,total,2007-03-01
Cumhuriyet Halk Partisi,664.4000000000001,0.638835884284732,0.5,0.5629171520591445,opposition,total,2007-04-01
Adalet ve Kalkınma Partisi,533.8000000000001,0.6341550966915224,0.5,0.5786881428102971,government,total,2007-04-01
Bağımsız,115.0,0.5449553279200869,0.0,0.5302900055956266,opposition,total,2007-04-01
Doğru Yol Partisi,66.30000000000001,0.38628299867277816,0.0,0.20898675466236505,opposition,total,2007-04-01
Anavatan Partisi,26.4,0.3435015891031592,0.0,0.15284423322282717,opposition,total,2007-04-01
Cumhuriyet Halk Partisi,2191.75,0.5832660589669535,0.0,0.505171592461934,opposition,total,2007-05-01
Adalet ve Kalkınma Partisi,2049.85,0.8353936236782297,0.8333333333333333,0.6348875114856437,government,total,2007-05-01
Anavatan Partisi,738.1999999999999,0.5438302774054663,0.0,0.47367038583080107,opposition,total,2007-05-01
Doğru Yol Partisi,90.15,0.4609793174028262,0.0,0.24356012787276687,opposition,total,2007-05-01
Bağımsız,76.55,0.45871184166841733,0.0,0.24090317479548035,opposition,total,2007-05-01
Cumhuriyet Halk Partisi,715.9499999999999,0.4435764742756793,0.6666666666666666,0.6622534369192234,opposition,total,2007-06-01
Adalet ve Kalkınma Partisi,193.9,0.3278638821012431,0.0,0.5304616835986654,government,total,2007-06-01
