speech_id,transcript_id,date,year,month,month_date,speaker,source_party,source_party_short,source_bloc,target_party,target_party_short,target_bloc,mention_count,beme_positive_hits,beme_negative_hits,relation_weight,beme_score,beme_label,topic_category,topic_label,positive_weight,negative_weight,net_weight
term_22_directed_039004,16345,2006-03-16,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039005,16345,2006-03-16,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039014,16345,2006-03-16,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_039018,16345,2006-03-16,2006,3,2006-03-01,Atilla Kart,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,0,3.0,0.0,mixed,democratic_reform,Reform,0.0,0.0,0.0
term_22_directed_039022,16345,2006-03-16,2006,3,2006-03-01,Hüseyin Güler,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,2,2,2.4,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_039023,16345,2006-03-16,2006,3,2006-03-01,Hüseyin Güler,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_039031,16345,2006-03-16,2006,3,2006-03-01,Zafer Hıdıroğlu,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039032,16345,2006-03-16,2006,3,2006-03-01,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,2,0,0,2.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039034,16345,2006-03-16,2006,3,2006-03-01,Atilla Kart,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,1,0,1.35,0.5,positive,general,General,0.675,0.0,0.675
term_22_directed_039037,16345,2006-03-16,2006,3,2006-03-01,Fahrettin Üstün,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,1,1,1.7,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039050,16365,2006-03-21,2006,3,2006-03-01,Faruk Nafız Özak,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,4,0,4,5.4,-0.8,negative,general,General,0.0,4.32,-4.32
term_22_directed_039055,16365,2006-03-21,2006,3,2006-03-01,Faruk Nafız Özak,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039055,16365,2006-03-21,2006,3,2006-03-01,Faruk Nafız Özak,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039074,16365,2006-03-21,2006,3,2006-03-01,Faruk Nafız Özak,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039077,16365,2006-03-21,2006,3,2006-03-01,Yakup Kepenek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_039086,16365,2006-03-21,2006,3,2006-03-01,Süleyman Sarıbaş,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039094,16365,2006-03-21,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,1,1,3.7,0.0,mixed,security_conflict,Security,0.0,0.0,0.0
term_22_directed_039095,16365,2006-03-21,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039099,16365,2006-03-21,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039105,16365,2006-03-21,2006,3,2006-03-01,Ensar Öğüt,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,2,0,1.7,0.6667,positive,general,General,1.13339,0.0,1.13339
term_22_directed_039115,16365,2006-03-21,2006,3,2006-03-01,Erdal Karademir,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,0,3.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039116,16365,2006-03-21,2006,3,2006-03-01,Erdal Karademir,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039118,16365,2006-03-21,2006,3,2006-03-01,Ensar Öğüt,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,0,2.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_039141,16365,2006-03-21,2006,3,2006-03-01,Fahrettin Üstün,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039156,16365,2006-03-21,2006,3,2006-03-01,Bülent Baratalı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,4,0,0,4.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_039157,16365,2006-03-21,2006,3,2006-03-01,Bülent Baratalı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,1,2.7,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_039159,16365,2006-03-21,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,0,2.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039161,16365,2006-03-21,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039191,16365,2006-03-21,2006,3,2006-03-01,Kemal Sağ,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,1,3.35,-0.5,negative,general,General,0.0,1.675,-1.675
term_22_directed_039211,16365,2006-03-21,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039266,16365,2006-03-21,2006,3,2006-03-01,Ferit Mevlüt Aslanoğlu,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,2,0,1.7,0.6667,positive,macro_economy,Economy,1.13339,0.0,1.13339
term_22_directed_039272,16365,2006-03-21,2006,3,2006-03-01,Yakup Kepenek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,3,0,4.05,0.75,positive,general,General,3.0374999999999996,0.0,3.0374999999999996
term_22_directed_039281,16365,2006-03-21,2006,3,2006-03-01,Mustafa Özyürek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,0,2.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039343,16365,2006-03-21,2006,3,2006-03-01,Ünal Kacır,Adalet ve Kalkınma Partisi,AK Party,government,Doğru Yol Partisi,DYP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039345,16365,2006-03-21,2006,3,2006-03-01,Ünal Kacır,Adalet ve Kalkınma Partisi,AK Party,government,Doğru Yol Partisi,DYP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039347,16365,2006-03-21,2006,3,2006-03-01,Alim Tunç,Adalet ve Kalkınma Partisi,AK Party,government,Doğru Yol Partisi,DYP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039367,16365,2006-03-21,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_039368,16365,2006-03-21,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_039375,16385,2006-03-22,2006,3,2006-03-01,Hüseyin Ekmekcioğlu,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,macro_economy,Economy,0.0,0.675,-0.675
term_22_directed_039376,16385,2006-03-22,2006,3,2006-03-01,Hüseyin Ekmekcioğlu,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,3,3.05,-0.75,negative,general,General,0.0,2.2874999999999996,-2.2874999999999996
term_22_directed_039377,16385,2006-03-22,2006,3,2006-03-01,Hüseyin Ekmekcioğlu,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,2,0,1.7,0.6667,positive,general,General,1.13339,0.0,1.13339
term_22_directed_039396,16385,2006-03-22,2006,3,2006-03-01,Mustafa Özyurt,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,7,0,1,7.35,-0.5,negative,general,General,0.0,3.675,-3.675
term_22_directed_039397,16385,2006-03-22,2006,3,2006-03-01,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,3,1,0,3.35,0.5,positive,general,General,1.675,0.0,1.675
term_22_directed_039398,16385,2006-03-22,2006,3,2006-03-01,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
