word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
imkan,1838,1447,0.008011,7,12,False,content_or_borderline,keep_for_now
sulama,1838,776,0.004296,6,12,False,content_or_borderline,keep_for_now
yaptiğiniz,1837,1579,0.008742,7,14,False,content_or_borderline,keep_for_now
sorunlarini,1835,1473,0.008155,7,14,False,content_or_borderline,keep_for_now
korumak,1835,1509,0.008354,7,15,False,content_or_borderline,keep_for_now
uzak,1831,1595,0.00883,7,15,False,content_or_borderline,keep_for_now
yalniz,1830,1625,0.008996,6,12,False,content_or_borderline,keep_for_now
olmaya,1830,1622,0.00898,7,14,False,content_or_borderline,keep_for_now
hükmünde,1828,1127,0.006239,7,13,False,content_or_borderline,keep_for_now
alma,1826,1542,0.008537,7,15,False,content_or_borderline,keep_for_now
ithal,1825,1041,0.005763,7,16,False,content_or_borderline,keep_for_now
yoksulluk,1823,1245,0.006893,6,15,False,content_or_borderline,keep_for_now
hasta,1822,1002,0.005547,6,12,False,content_or_borderline,keep_for_now
sinir,1822,1146,0.006344,7,16,False,content_or_borderline,keep_for_now
saygideğer,1819,1379,0.007634,7,11,False,content_or_borderline,keep_for_now
kurulan,1816,1485,0.008221,7,12,False,content_or_borderline,keep_for_now
kimin,1816,1429,0.007911,7,14,False,content_or_borderline,keep_for_now
edilmektedir,1813,1459,0.008077,7,13,False,content_or_borderline,keep_for_now
yardimcisi,1812,1530,0.00847,7,13,False,content_or_borderline,keep_for_now
kuruluş,1809,1400,0.007751,6,14,False,content_or_borderline,keep_for_now
inaniyorum,1808,1533,0.008487,7,12,False,content_or_borderline,keep_for_now
sevgili,1807,1298,0.007186,7,13,False,content_or_borderline,keep_for_now
sizler,1807,1559,0.008631,7,16,False,content_or_borderline,keep_for_now
henüz,1806,1558,0.008625,7,16,False,content_or_borderline,keep_for_now
milletimiz,1804,1463,0.008099,7,14,False,content_or_borderline,keep_for_now
rusya,1803,1018,0.005636,7,14,False,content_or_borderline,keep_for_now
hukuka,1803,1332,0.007374,7,15,False,content_or_borderline,keep_for_now
