word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
yapilmasi,5960,4517,0.025007,7,15,False,high_frequency_generic,review_first,2
belki,5948,4427,0.024509,7,16,False,high_frequency_generic,review_first,2
kalkinma,5940,3438,0.019033,7,15,False,high_frequency_generic,review_first,2
hayir,5931,4619,0.025572,7,16,False,high_frequency_generic,review_first,2
ay,5921,4002,0.022156,7,17,False,high_frequency_generic,review_first,2
türlü,5916,4541,0.02514,7,17,False,high_frequency_generic,review_first,2
elbette,5913,4116,0.022787,7,17,False,high_frequency_generic,review_first,2
hemen,5905,4163,0.023047,7,17,False,high_frequency_generic,review_first,2
durum,5900,4523,0.02504,7,17,False,high_frequency_generic,review_first,2
gerekir,5882,4171,0.023092,7,17,False,high_frequency_generic,review_first,2
belli,5865,4214,0.02333,7,16,False,high_frequency_generic,review_first,2
gerekli,5856,4341,0.024033,7,17,False,high_frequency_generic,review_first,2
çalişan,5831,4145,0.022948,7,16,False,high_frequency_generic,review_first,2
geldi,5830,4595,0.025439,7,17,False,high_frequency_generic,review_first,2
milletin,5830,3927,0.021741,7,17,False,high_frequency_generic,review_first,2
değişiklik,5804,3908,0.021636,7,13,False,high_frequency_generic,review_first,2
varsa,5803,4549,0.025184,7,17,False,high_frequency_generic,review_first,2
bulunan,5766,4325,0.023944,7,16,False,high_frequency_generic,review_first,2
ülkemizin,5749,3964,0.021946,7,16,False,high_frequency_generic,review_first,2
nedenle,5726,4217,0.023346,7,14,False,high_frequency_generic,review_first,2
yaptiği,5725,4717,0.026114,7,17,False,high_frequency_generic,review_first,2
bilgi,5722,3887,0.021519,7,16,False,high_frequency_generic,review_first,2
döneminde,5699,4159,0.023025,7,16,False,high_frequency_generic,review_first,2
başta,5687,4513,0.024985,7,17,False,high_frequency_generic,review_first,2
yurt,5667,3057,0.016924,7,15,False,high_frequency_generic,review_first,2
çözüm,5640,3751,0.020766,7,16,False,high_frequency_generic,review_first,2
ikinci,5603,4325,0.023944,7,17,False,high_frequency_generic,review_first,2
dair,5586,4224,0.023385,7,17,False,high_frequency_generic,review_first,2
dün,5580,4389,0.024298,7,17,False,high_frequency_generic,review_first,2
maddesi,5568,4308,0.02385,7,16,False,high_frequency_generic,review_first,2
hatta,5566,4366,0.024171,7,17,False,high_frequency_generic,review_first,2
yilda,5527,3838,0.021248,7,16,False,high_frequency_generic,review_first,2
ankara,5503,3443,0.019061,7,17,False,high_frequency_generic,review_first,2
soru,5502,3510,0.019432,7,15,False,high_frequency_generic,review_first,2
musunuz,5441,4164,0.023053,7,14,False,high_frequency_generic,review_first,2
oluyor,5427,4033,0.022328,7,16,False,high_frequency_generic,review_first,2
demek,5397,4052,0.022433,7,17,False,high_frequency_generic,review_first,2
üzerinden,5395,3902,0.021602,7,17,False,high_frequency_generic,review_first,2
ettiği,5344,4498,0.024902,7,16,False,high_frequency_generic,review_first,2
mevcut,5338,3788,0.020971,7,17,False,high_frequency_generic,review_first,2
araştirma,5323,3256,0.018026,7,15,False,high_frequency_generic,review_first,2
yirmi,5298,3819,0.021143,7,17,False,high_frequency_generic,review_first,2
bağli,5268,3806,0.021071,7,17,False,high_frequency_generic,review_first,2
onlarin,5235,4178,0.02313,7,17,False,high_frequency_generic,review_first,2
doğal,5235,3074,0.017018,7,17,False,high_frequency_generic,review_first,2
uzun,5222,3983,0.022051,7,16,False,high_frequency_generic,review_first,2
durumda,5215,4009,0.022195,7,16,False,high_frequency_generic,review_first,2
sorun,5190,3740,0.020705,7,17,False,high_frequency_generic,review_first,2
mutlaka,5185,3411,0.018884,7,17,False,high_frequency_generic,review_first,2
derece,5184,3632,0.020108,7,15,False,high_frequency_generic,review_first,2
