speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Mustafa Kalaycı,Milliyetçi Hareket Partisi,0,Neutral,698.0,0.0,0.0,0.6931198187247952,0.30200505944370654,0.6931198187247952,0.30200505944370654,0.0,0.30348458345856394,1.1354595223227808,0.9873561063676356
Sebahat Tuncel,Bağımsız,0,Neutral,539.0,0.5881838266924632,0.0,0.0,0.27089964044491505,0.5881838266924632,0.27089964044491505,0.0,0.3153356460604068,1.1287032300518258,0.0
Beytullah Asil,Milliyetçi Hareket Partisi,1,Pole +,279.0,4.815376462606027,0.0,0.5306403415914069,1.4099622304878938,5.346016804197434,1.4099622304878938,0.0,0.20869843186907802,1.0717096364783874,1.0670425793731106
Mehmet Şimşek,Adalet ve Kalkınma Partisi,0,Neutral,1159.0,0.34475656514014846,0.3133096225612045,0.5601797219984417,0.0,0.9049362871385902,0.3133096225612045,0.476106549676255,0.2571809351539137,1.019949654725144,0.0
Nurettin Akman,Adalet ve Kalkınma Partisi,0,Neutral,96.0,3.7812244759840183,0.34098345267922886,2.609588378598199,0.9453165720803003,6.390812854582217,1.286300024759529,0.08271864459469044,0.16754996895424956,1.0139560416895177,1.1962080180010128
Gökhan Durgun,Cumhuriyet Halk Partisi,-1,Pole -,129.0,0.72057443877707,0.9046316140922392,4.28382936598927,0.2821978117191563,5.00440380476634,1.1868294258113956,0.4433742029581529,0.19169515691285813,0.9677634318647721,0.29333574249955147
Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,0,Neutral,728.0,0.0,0.2936566287795551,0.22040164787722874,0.29032624458992723,0.22040164787722874,0.5839828733694823,0.0,0.27400035900943137,0.9609707191133888,1.131664784860054
Cemaleddin Uslu,Milliyetçi Hareket Partisi,0,Neutral,665.0,0.0,0.8359165741358127,0.2621369251522908,0.0,0.2621369251522908,0.8359165741358127,0.0,0.238728736881684,0.9192069646466565,0.0
İbrahim Hasgür,Bağımsız,1,Pole +,64.0,4.216095775520096,0.7291050967407597,0.28271022534726903,0.2767767640531689,4.498806000867365,1.0058818607939286,0.1474369020443833,0.18273186162232738,0.9011816734899974,1.339242259714173
Bekir Bozdağ,Adalet ve Kalkınma Partisi,0,Neutral,645.0,0.0,0.7572225716233146,0.39855597395736375,0.9634898314250637,0.39855597395736375,1.7207124030483785,0.0,0.1880630023519767,0.8626340965586091,1.0407779116733409
