date,open,high,low,close,adjclose,volume,symbol,series,forex_buying,forex_selling,source
2004-01-23,1.3241465,1.327332,1.320961,1.3241465,1.3241465,,TCMB_USDTRY,usd_try,1.320961,1.327332,TCMB daily exchange-rate XML archive
2004-01-26,1.322559,1.325741,1.319377,1.322559,1.322559,,TCMB_USDTRY,usd_try,1.319377,1.325741,TCMB daily exchange-rate XML archive
2004-01-27,1.3187515,1.321924,1.315579,1.3187515,1.3187515,,TCMB_USDTRY,usd_try,1.315579,1.321924,TCMB daily exchange-rate XML archive
2004-01-28,1.324259,1.327445,1.321073,1.324259,1.324259,,TCMB_USDTRY,usd_try,1.321073,1.327445,TCMB daily exchange-rate XML archive
2004-01-29,1.336404,1.339619,1.333189,1.336404,1.336404,,TCMB_USDTRY,usd_try,1.333189,1.339619,TCMB daily exchange-rate XML archive
2004-01-30,1.3402255,1.34345,1.337001,1.3402255,1.3402255,,TCMB_USDTRY,usd_try,1.337001,1.34345,TCMB daily exchange-rate XML archive
2004-02-05,1.3245095,1.327696,1.321323,1.3245095,1.3245095,,TCMB_USDTRY,usd_try,1.321323,1.327696,TCMB daily exchange-rate XML archive
2004-02-06,1.336015,1.339229,1.332801,1.336015,1.336015,,TCMB_USDTRY,usd_try,1.332801,1.339229,TCMB daily exchange-rate XML archive
2004-02-09,1.3453694999999999,1.348606,1.342133,1.3453694999999999,1.3453694999999999,,TCMB_USDTRY,usd_try,1.342133,1.348606,TCMB daily exchange-rate XML archive
2004-02-10,1.3420714999999999,1.3453,1.338843,1.3420714999999999,1.3420714999999999,,TCMB_USDTRY,usd_try,1.338843,1.3453,TCMB daily exchange-rate XML archive
2004-02-11,1.337945,1.341164,1.334726,1.337945,1.337945,,TCMB_USDTRY,usd_try,1.334726,1.341164,TCMB daily exchange-rate XML archive
2004-02-12,1.3180939999999999,1.321265,1.314923,1.3180939999999999,1.3180939999999999,,TCMB_USDTRY,usd_try,1.314923,1.321265,TCMB daily exchange-rate XML archive
2004-02-13,1.3143470000000002,1.317509,1.311185,1.3143470000000002,1.3143470000000002,,TCMB_USDTRY,usd_try,1.311185,1.317509,TCMB daily exchange-rate XML archive
2004-02-16,1.3199375,1.323113,1.316762,1.3199375,1.3199375,,TCMB_USDTRY,usd_try,1.316762,1.323113,TCMB daily exchange-rate XML archive
